Origin,Destination,ETA(Days),RouteID,VoyageID,Distance,ATA(Days),start_date,end_date,Delay
Qingdao,Shanghai,3,1,1,335.4135659,4,21-12-2018 00:00,25-12-2018 00:00,1
Shanghai,Ningbo,5,1,1,161.5943334,7,26-12-2018 00:00,02-01-2019 00:00,6
Ningbo,Wenzhou,1,1,1,234.4704,5,08-01-2019 00:00,13-01-2019 00:00,6
Wenzhou,Busan,2,1,1,624.1703,4,19-01-2019 00:00,23-01-2019 00:00,6
Busan,Long Beach,20,1,1,5254.9634,25,29-01-2019 00:00,23-02-2019 00:00,6
Qingdao,Shanghai,3,2,1,335.4135659,4,27-12-2017 00:00,31-12-2017 00:00,1
Shanghai,Ningbo,5,2,1,161.5943334,8,01-01-2018 00:00,09-01-2018 00:00,6
Ningbo,Busan,8,2,1,506.2098107,12,15-01-2018 00:00,27-01-2018 00:00,6
Busan,Long Beach,20,2,1,5254.9634,24,02-02-2018 00:00,26-02-2018 00:00,6
Qingdao,Shanghai,3,1,2,335.4135659,8,26-04-2016 00:00,04-05-2016 00:00,1
Shanghai,Ningbo,5,1,2,161.5943334,6,05-05-2016 00:00,11-05-2016 00:00,6
Ningbo,Wenzhou,1,1,2,234.4704,6,17-05-2016 00:00,23-05-2016 00:00,6
Wenzhou,Busan,2,1,2,624.1703,6,29-05-2016 00:00,04-06-2016 00:00,6
Busan,Los Angeles,20,1,2,5254.901206,22,10-06-2016 00:00,02-07-2016 00:00,6
Qingdao,Shanghai,3,2,2,335.4135659,7,22-12-2019 00:00,29-12-2019 00:00,1
Shanghai,Ningbo,5,2,2,161.5943334,9,30-12-2019 00:00,08-01-2020 00:00,6
Ningbo,Busan,8,2,2,506.2098107,10,14-01-2020 00:00,24-01-2020 00:00,6
Busan,Los Angeles,20,2,2,5254.901206,25,30-01-2020 00:00,24-02-2020 00:00,6
Qingdao,Shanghai,3,1,3,335.4135659,4,13-02-2017 00:00,17-02-2017 00:00,1
Shanghai,Ningbo,5,1,3,161.5943334,7,18-02-2017 00:00,25-02-2017 00:00,6
Ningbo,Wenzhou,1,1,3,234.4704,5,03-03-2017 00:00,08-03-2017 00:00,6
Wenzhou,Busan,2,1,3,624.1703,4,14-03-2017 00:00,18-03-2017 00:00,6
Busan,Wilmington,36,1,3,10098.33221,38,24-03-2017 00:00,01-05-2017 00:00,6
Wilmington,Savannah,3,1,3,628.8036587,5,07-05-2017 00:00,12-05-2017 00:00,6
Qingdao,Shanghai,3,2,3,335.4135659,6,26-01-2018 00:00,01-02-2018 00:00,1
Shanghai,Ningbo,5,2,3,161.5943334,6,02-02-2018 00:00,08-02-2018 00:00,6
Ningbo,Busan,8,2,3,506.2098107,13,14-02-2018 00:00,27-02-2018 00:00,6
Busan,Wilmington,36,2,3,10098.33221,39,05-03-2018 00:00,13-04-2018 00:00,6
Wilmington,Savannah,3,2,3,628.8036587,7,19-04-2018 00:00,26-04-2018 00:00,6
Qingdao,Shanghai,3,1,4,335.4135659,7,15-12-2015 00:00,22-12-2015 00:00,1
Shanghai,Ningbo,5,1,4,161.5943334,10,23-12-2015 00:00,02-01-2016 00:00,6
Ningbo,Wenzhou,1,1,4,234.4704,5,08-01-2016 00:00,13-01-2016 00:00,6
Wenzhou,Busan,2,1,4,624.1703,4,19-01-2016 00:00,23-01-2016 00:00,6
Busan,Wilmington,36,1,4,10098.33221,38,29-01-2016 00:00,07-03-2016 00:00,6
Wilmington,Savannah,3,1,4,628.8036587,8,13-03-2016 00:00,21-03-2016 00:00,6
Savannah,New York,5,1,4,688.4059453,9,27-03-2016 00:00,05-04-2016 00:00,6
Qingdao,Shanghai,3,2,4,335.4135659,8,19-06-2019 00:00,27-06-2019 00:00,1
Shanghai,Ningbo,5,2,4,161.5943334,10,28-06-2019 00:00,08-07-2019 00:00,6
Ningbo,Busan,8,2,4,506.2098107,11,14-07-2019 00:00,25-07-2019 00:00,6
Busan,Wilmington,36,2,4,10098.33221,37,31-07-2019 00:00,06-09-2019 00:00,6
Wilmington,Savannah,3,2,4,628.8036587,6,12-09-2019 00:00,18-09-2019 00:00,6
Savannah,New York,5,2,4,688.4059453,7,24-09-2019 00:00,01-10-2019 00:00,6
Qingdao,Shanghai,3,1,5,335.4135659,5,22-01-2016 00:00,27-01-2016 00:00,1
Shanghai,Ningbo,5,1,5,161.5943334,9,28-01-2016 00:00,06-02-2016 00:00,6
Ningbo,Wenzhou,1,1,5,234.4704,6,12-02-2016 00:00,18-02-2016 00:00,6
Wenzhou,Busan,2,1,5,624.1703,6,24-02-2016 00:00,01-03-2016 00:00,6
Busan,Yokohama,2,1,5,644.2606097,3,07-03-2016 00:00,10-03-2016 00:00,6
Yokohama,Seattle,15,1,5,4247.728669,18,16-03-2016 00:00,03-04-2016 00:00,6
Qingdao,Shanghai,3,2,5,335.4135659,5,23-12-2017 00:00,28-12-2017 00:00,1
Shanghai,Ningbo,5,2,5,161.5943334,7,29-12-2017 00:00,05-01-2018 00:00,6
Ningbo,Busan,8,2,5,506.2098107,12,11-01-2018 00:00,23-01-2018 00:00,6
Busan,Yokohama,2,2,5,644.2606097,5,29-01-2018 00:00,03-02-2018 00:00,6
Yokohama,Seattle,15,2,5,4247.728669,19,09-02-2018 00:00,28-02-2018 00:00,6
Ningbo,Wenzhou,1,1,6,234.4704,4,17-10-2019 00:00,21-10-2019 00:00,6
Wenzhou,Busan,2,1,6,624.1703,6,27-10-2019 00:00,02-11-2019 00:00,6
Busan,Long Beach,20,1,6,5254.9634,21,08-11-2019 00:00,29-11-2019 00:00,6
Ningbo,Busan,8,2,6,506.2098107,10,14-12-2015 00:00,24-12-2015 00:00,6
Busan,Long Beach,20,2,6,5254.9634,25,30-12-2015 00:00,24-01-2016 00:00,6
Ningbo,Wenzhou,1,1,7,234.4704,2,20-09-2016 00:00,22-09-2016 00:00,6
Wenzhou,Busan,2,1,7,624.1703,3,28-09-2016 00:00,01-10-2016 00:00,6
Busan,Los Angeles,20,1,7,5254.901206,24,07-10-2016 00:00,31-10-2016 00:00,6
Ningbo,Busan,8,2,7,506.2098107,13,26-07-2015 00:00,08-08-2015 00:00,6
Busan,Los Angeles,20,2,7,5254.901206,23,14-08-2015 00:00,06-09-2015 00:00,6
Ningbo,Wenzhou,1,1,8,234.4704,5,14-08-2018 00:00,19-08-2018 00:00,6
Wenzhou,Busan,2,1,8,624.1703,5,25-08-2018 00:00,30-08-2018 00:00,6
Busan,Wilmington,36,1,8,10098.33221,38,05-09-2018 00:00,13-10-2018 00:00,6
Wilmington,Savannah,3,1,8,628.8036587,7,19-10-2018 00:00,26-10-2018 00:00,6
Ningbo,Busan,8,2,8,506.2098107,12,13-02-2018 00:00,25-02-2018 00:00,6
Busan,Wilmington,36,2,8,10098.33221,38,03-03-2018 00:00,10-04-2018 00:00,6
Wilmington,Savannah,3,2,8,628.8036587,6,16-04-2018 00:00,22-04-2018 00:00,6
Ningbo,Wenzhou,1,1,9,234.4704,6,04-09-2017 00:00,10-09-2017 00:00,6
Wenzhou,Busan,2,1,9,624.1703,5,16-09-2017 00:00,21-09-2017 00:00,6
Busan,Wilmington,36,1,9,10098.33221,39,27-09-2017 00:00,05-11-2017 00:00,6
Wilmington,Savannah,3,1,9,628.8036587,7,11-11-2017 00:00,18-11-2017 00:00,6
Savannah,New York,5,1,9,688.4059453,7,24-11-2017 00:00,01-12-2017 00:00,6
Ningbo,Busan,8,2,9,506.2098107,11,14-03-2015 00:00,25-03-2015 00:00,6
Busan,Wilmington,36,2,9,10098.33221,38,31-03-2015 00:00,08-05-2015 00:00,6
Wilmington,Savannah,3,2,9,628.8036587,4,14-05-2015 00:00,18-05-2015 00:00,6
Savannah,New York,5,2,9,688.4059453,6,24-05-2015 00:00,30-05-2015 00:00,6
Ningbo,Wenzhou,1,1,10,234.4704,5,05-10-2017 00:00,10-10-2017 00:00,6
Wenzhou,Busan,2,1,10,624.1703,4,16-10-2017 00:00,20-10-2017 00:00,6
Busan,Yokohama,2,1,10,644.2606097,6,26-10-2017 00:00,01-11-2017 00:00,6
Yokohama,Seattle,15,1,10,4247.728669,18,07-11-2017 00:00,25-11-2017 00:00,6
Ningbo,Busan,8,2,10,506.2098107,10,21-02-2019 00:00,03-03-2019 00:00,6
Busan,Yokohama,2,2,10,644.2606097,6,09-03-2019 00:00,15-03-2019 00:00,6
Yokohama,Seattle,15,2,10,4247.728669,18,21-03-2019 00:00,08-04-2019 00:00,6
