MMSI,Company,Origin,Destination,StDate,Distance,ETA,ATA,TradeRoute,
417364486,Maersk,Shenzhen,New York,2016-01-25 05:07:09,13771.24929,2016-03-08 15:07:09,2016-03-08 05:07:09,Cape of Good Hope,
515855260,Maersk,Guangzhou,New York,2018-10-24 08:10:15,13801.1163,2018-12-06 09:10:15,2018-12-06 08:10:15,Cape of Good Hope,
921059981,HPL,New York,Shenzhen,2018-01-27 10:47:29,13771.24929,2018-03-12 08:47:29,2018-03-11 10:47:29,Cape of Good Hope,
927749179,HPL,New York,Shenzhen,2015-07-13 13:51:15,13771.24929,2015-08-26 11:51:15,2015-08-25 14:51:15,Cape of Good Hope,
935055183,Maersk,New York,Guangzhou,2015-03-13 12:02:26,13801.1163,2015-04-26 01:02:26,2015-04-25 13:02:26,Cape of Good Hope,
472129537,XPO Logistics,Shenzhen,New York,2018-09-21 09:22:45,13771.24929,2018-11-03 19:22:45,2018-11-03 10:22:45,Cape of Good Hope,
941181313,HPL,Guangzhou,New York,2017-01-20 14:35:55,13801.1163,2017-03-04 22:35:55,2017-03-04 15:35:55,Cape of Good Hope,
843164588,Maersk,Shenzhen,New York,2018-03-29 05:28:35,13771.24929,2018-05-11 22:28:35,2018-05-11 08:28:35,Cape of Good Hope,
927749179,HPL,Guangzhou,New York,2016-10-03 13:51:15,13801.1163,2016-11-16 10:51:15,2016-11-15 16:51:15,Cape of Good Hope,
417364486,Maersk,New York,Shenzhen,2015-05-28 05:07:09,13771.24929,2015-07-10 20:07:09,2015-07-10 09:07:09,Cape of Good Hope,
843164588,Maersk,New York,Shenzhen,2019-03-17 05:28:35,13771.24929,2019-04-29 10:28:35,2019-04-29 11:28:35,Cape of Good Hope,
515855260,Maersk,New York,Guangzhou,2019-07-04 08:10:15,13801.1163,2019-08-16 23:10:15,2019-08-16 14:10:15,Cape of Good Hope,
850142123,XPO Logistics,New York,Guangzhou,2017-07-30 01:44:05,13801.1163,2017-09-11 12:44:05,2017-09-11 07:44:05,Cape of Good Hope,
472129537,XPO Logistics,Shenzhen,New York,2018-12-29 09:22:45,13771.24929,2019-02-10 21:22:45,2019-02-10 15:22:45,Cape of Good Hope,
935055183,Maersk,Guangzhou,New York,2016-03-07 12:02:26,13801.1163,2016-04-19 17:02:26,2016-04-19 19:02:26,Cape of Good Hope,
935055183,Maersk,New York,Guangzhou,2016-04-22 12:02:26,13801.1163,2016-06-05 03:02:26,2016-06-04 19:02:26,Cape of Good Hope,
472129537,XPO Logistics,Shenzhen,New York,2017-01-19 09:22:45,13771.24929,2017-03-04 06:22:45,2017-03-03 16:22:45,Cape of Good Hope,
561348463,XPO Logistics,New York,Shenzhen,2015-06-29 07:47:21,13771.24929,2015-08-11 19:47:21,2015-08-11 15:47:21,Cape of Good Hope,
472129537,XPO Logistics,Shenzhen,New York,2017-08-15 09:22:45,13771.24929,2017-09-27 17:22:45,2017-09-27 18:22:45,Cape of Good Hope,
692331649,XPO Logistics,New York,Guangzhou,2016-11-30 06:53:03,13801.1163,2017-01-13 04:53:03,2017-01-12 16:53:03,Cape of Good Hope,
402494582,Maersk,Shenzhen,New York,2015-08-16 21:48:41,13771.24929,2015-09-29 04:48:41,2015-09-29 08:48:41,Cape of Good Hope,
988118092,XPO Logistics,New York,Shenzhen,2016-09-30 20:35:14,13771.24929,2016-11-13 09:35:14,2016-11-13 07:35:14,Cape of Good Hope,
835737501,HPL,Shenzhen,New York,2019-02-22 12:49:03,13771.24929,2019-04-06 23:49:03,2019-04-06 23:49:03,Cape of Good Hope,
561348463,XPO Logistics,Shenzhen,New York,2015-05-14 07:47:21,13771.24929,2015-06-26 10:47:21,2015-06-26 18:47:21,Cape of Good Hope,
515855260,Maersk,Guangzhou,New York,2019-01-31 08:10:15,13801.1163,2019-03-16 04:10:15,2019-03-15 20:10:15,Cape of Good Hope,
927749179,HPL,New York,Shenzhen,2016-05-07 13:51:15,13771.24929,2016-06-19 13:51:15,2016-06-20 01:51:15,Cape of Good Hope,
927749179,HPL,New York,Guangzhou,2017-06-04 13:51:15,13801.1163,2017-07-17 22:51:15,2017-07-18 01:51:15,Cape of Good Hope,
417364486,Maersk,Shenzhen,New York,2015-10-23 05:07:09,13771.24929,2015-12-05 15:07:09,2015-12-05 18:07:09,Cape of Good Hope,
266470177,HPL,Shenzhen,New York,2018-10-10 01:35:49,13771.24929,2018-11-22 13:35:49,2018-11-22 15:35:49,Cape of Good Hope,
417364486,Maersk,Shenzhen,New York,2015-01-02 05:07:09,13771.24929,2015-02-15 01:07:09,2015-02-14 20:07:09,Cape of Good Hope,
417364486,Maersk,Guangzhou,New York,2017-03-06 05:07:09,13801.1163,2017-04-18 07:07:09,2017-04-18 21:07:09,Cape of Good Hope,
703097178,HPL,Guangzhou,New York,2016-03-09 10:32:40,13801.1163,2016-04-21 17:32:40,2016-04-22 02:32:40,Cape of Good Hope,
610784131,Maersk,Shenzhen,New York,2017-04-22 10:47:23,13771.24929,2017-06-04 13:47:23,2017-06-05 02:47:23,Cape of Good Hope,
161181295,HPL,New York,Shenzhen,2016-05-14 02:17:44,13771.24929,2016-06-26 14:17:44,2016-06-26 18:17:44,Cape of Good Hope,
862756196,HPL,New York,Shenzhen,2017-04-13 13:35:57,13771.24929,2017-05-26 15:35:57,2017-05-27 05:35:57,Cape of Good Hope,
941181313,HPL,New York,Guangzhou,2017-06-18 14:35:55,13801.1163,2017-07-31 19:35:55,2017-08-01 06:35:55,Cape of Good Hope,
610784131,Maersk,Shenzhen,New York,2018-02-17 10:47:23,13771.24929,2018-04-01 16:47:23,2018-04-02 04:47:23,Cape of Good Hope,
703097178,HPL,New York,Guangzhou,2015-03-15 10:32:40,13801.1163,2015-04-27 22:32:40,2015-04-28 05:32:40,Cape of Good Hope,
988118092,XPO Logistics,Shenzhen,New York,2016-11-15 20:35:14,13771.24929,2016-12-29 13:35:14,2016-12-29 15:35:14,Cape of Good Hope,
472129537,XPO Logistics,New York,Shenzhen,2018-08-04 09:22:45,13771.24929,2018-09-16 14:22:45,2018-09-17 04:22:45,Cape of Good Hope,
177243058,XPO Logistics,Shenzhen,New York,2018-04-25 20:08:19,13771.24929,2018-06-08 12:08:19,2018-06-08 16:08:19,Cape of Good Hope,
161181295,HPL,Shenzhen,New York,2015-05-17 02:17:44,13771.24929,2015-06-29 15:17:44,2015-06-29 22:17:44,Cape of Good Hope,
692331649,XPO Logistics,New York,Shenzhen,2015-10-25 06:53:03,13771.24929,2015-12-07 13:53:03,2015-12-08 03:53:03,Cape of Good Hope,
850142123,XPO Logistics,New York,Guangzhou,2017-04-28 01:44:05,13801.1163,2017-06-10 04:44:05,2017-06-10 22:44:05,Cape of Good Hope,
472129537,XPO Logistics,New York,Shenzhen,2016-08-26 09:22:45,13771.24929,2016-10-09 03:22:45,2016-10-09 06:22:45,Cape of Good Hope,
883318539,XPO Logistics,New York,Guangzhou,2019-12-02 20:28:49,13801.1163,2020-01-15 16:28:49,2020-01-15 17:28:49,Cape of Good Hope,
927749179,HPL,New York,Shenzhen,2015-10-21 13:51:15,13771.24929,2015-12-03 13:51:15,2015-12-04 11:51:15,Cape of Good Hope,
148885050,Maersk,New York,Guangzhou,2016-09-13 16:27:50,13801.1163,2016-10-26 18:27:50,2016-10-27 14:27:50,Cape of Good Hope,
692331649,XPO Logistics,New York,Shenzhen,2016-02-02 06:53:03,13771.24929,2016-03-16 17:53:03,2016-03-17 04:53:03,Cape of Good Hope,
242135016,Maersk,New York,Guangzhou,2015-09-18 01:34:55,13801.1163,2015-10-31 19:34:55,2015-11-01 01:34:55,Cape of Good Hope,
266470177,HPL,New York,Shenzhen,2018-05-15 01:35:49,13771.24929,2018-06-27 15:35:49,2018-06-28 01:35:49,Cape of Good Hope,
304138441,XPO Logistics,New York,Guangzhou,2015-04-01 02:05:03,13801.1163,2015-05-14 08:05:03,2015-05-15 03:05:03,Cape of Good Hope,
304138441,XPO Logistics,Guangzhou,New York,2015-12-11 02:05:03,13801.1163,2016-01-23 18:05:03,2016-01-24 03:05:03,Cape of Good Hope,
161181295,HPL,New York,Shenzhen,2015-03-31 02:17:44,13771.24929,2015-05-13 03:17:44,2015-05-14 03:17:44,Cape of Good Hope,
988118092,XPO Logistics,Shenzhen,New York,2017-09-07 20:35:14,13771.24929,2017-10-21 13:35:14,2017-10-21 22:35:14,Cape of Good Hope,
766024027,HPL,Guangzhou,New York,2016-01-04 22:40:33,13801.1163,2016-02-17 12:40:33,2016-02-18 00:40:33,Cape of Good Hope,
266470177,HPL,New York,Shenzhen,2018-08-24 01:35:49,13771.24929,2018-10-06 13:35:49,2018-10-07 03:35:49,Cape of Good Hope,
921059981,HPL,Shenzhen,New York,2018-03-14 10:47:29,13771.24929,2018-04-26 21:47:29,2018-04-27 12:47:29,Cape of Good Hope,
988118092,XPO Logistics,New York,Shenzhen,2017-01-01 20:35:14,13771.24929,2017-02-14 17:35:14,2017-02-14 23:35:14,Cape of Good Hope,
927749179,HPL,Savannah,Guangzhou,2018-10-25 13:51:15,13843.77501,2018-12-09 11:51:15,2018-12-08 16:51:15,Cape of Good Hope,
921059981,HPL,Shenzhen,New York,2017-02-07 10:47:29,13771.24929,2017-03-22 19:47:29,2017-03-23 13:47:29,Cape of Good Hope,
934224691,Maersk,Shenzhen,Savannah,2019-02-12 11:01:03,13813.908,2019-03-28 14:01:03,2019-03-28 16:01:03,Cape of Good Hope,
941181313,HPL,New York,Guangzhou,2016-12-04 14:35:55,13801.1163,2017-01-17 10:35:55,2017-01-17 20:35:55,Cape of Good Hope,
941181313,HPL,Guangzhou,Savannah,2017-11-13 14:35:55,13843.77501,2017-12-27 18:35:55,2017-12-27 20:35:55,Cape of Good Hope,
986094286,HPL,Guangzhou,Savannah,2018-04-13 11:06:57,13843.77501,2018-05-27 17:06:57,2018-05-27 19:06:57,Cape of Good Hope,
850142123,XPO Logistics,Guangzhou,Savannah,2018-10-31 01:44:05,13843.77501,2018-12-14 15:44:05,2018-12-14 09:44:05,Cape of Good Hope,
838213806,XPO Logistics,Guangzhou,Savannah,2015-05-05 16:36:46,13843.77501,2015-06-19 13:36:46,2015-06-19 00:36:46,Cape of Good Hope,
692331649,XPO Logistics,New York,Shenzhen,2015-07-15 06:53:03,13771.24929,2015-08-27 08:53:03,2015-08-28 14:53:03,Cape of Good Hope,
732148707,XPO Logistics,Guangzhou,New York,2015-08-10 01:05:47,13801.1163,2015-09-22 15:05:47,2015-09-23 10:05:47,Cape of Good Hope,
304138441,XPO Logistics,New York,Guangzhou,2016-01-27 02:05:03,13801.1163,2016-03-10 02:05:03,2016-03-11 12:05:03,Cape of Good Hope,
148885050,Maersk,New York,Guangzhou,2017-03-30 16:27:50,13801.1163,2017-05-12 19:27:50,2017-05-14 02:27:50,Cape of Good Hope,
402494582,Maersk,New York,Shenzhen,2015-10-01 21:48:41,13771.24929,2015-11-14 15:48:41,2015-11-15 08:48:41,Cape of Good Hope,
850142123,XPO Logistics,Guangzhou,New York,2017-06-13 01:44:05,13801.1163,2017-07-26 07:44:05,2017-07-27 12:44:05,Cape of Good Hope,
692331649,XPO Logistics,Guangzhou,New York,2017-08-09 06:53:03,13801.1163,2017-09-22 03:53:03,2017-09-22 20:53:03,Cape of Good Hope,
417364486,Maersk,New York,Shenzhen,2015-09-06 05:07:09,13771.24929,2015-10-20 03:07:09,2015-10-20 20:07:09,Cape of Good Hope,
417364486,Maersk,Savannah,Guangzhou,2018-06-18 05:07:09,13843.77501,2018-08-01 20:07:09,2018-08-01 21:07:09,Cape of Good Hope,
935055183,Maersk,Guangzhou,New York,2015-01-25 12:02:26,13801.1163,2015-03-09 15:02:26,2015-03-11 04:02:26,Cape of Good Hope,
850142123,XPO Logistics,New York,Guangzhou,2017-01-21 01:44:05,13801.1163,2017-03-05 22:44:05,2017-03-06 17:44:05,Cape of Good Hope,
988118092,XPO Logistics,New York,Shenzhen,2017-10-24 20:35:14,13771.24929,2017-12-07 13:35:14,2017-12-08 13:35:14,Cape of Good Hope,
161181295,HPL,Shenzhen,Savannah,2018-07-13 02:17:44,13813.908,2018-08-26 18:17:44,2018-08-26 19:17:44,Cape of Good Hope,
561348463,XPO Logistics,Shenzhen,New York,2015-08-14 07:47:21,13771.24929,2015-09-26 21:47:21,2015-09-28 00:47:21,Cape of Good Hope,
985216053,XPO Logistics,Shenzhen,Savannah,2019-06-21 16:29:29,13813.908,2019-08-04 22:29:29,2019-08-05 09:29:29,Cape of Good Hope,
967517263,HPL,Guangzhou,Savannah,2016-10-14 03:17:06,13843.77501,2016-11-27 04:17:06,2016-11-27 20:17:06,Cape of Good Hope,
148885050,Maersk,Savannah,Guangzhou,2018-01-24 16:27:50,13843.77501,2018-03-10 06:27:50,2018-03-10 10:27:50,Cape of Good Hope,
561348463,XPO Logistics,Savannah,Shenzhen,2018-04-28 07:47:21,13813.908,2018-06-11 23:47:21,2018-06-12 01:47:21,Cape of Good Hope,
838213806,XPO Logistics,Guangzhou,Savannah,2015-01-25 16:36:46,13843.77501,2015-03-10 17:36:46,2015-03-11 10:36:46,Cape of Good Hope,
994893772,XPO Logistics,Savannah,Guangzhou,2019-03-15 16:52:36,13843.77501,2019-04-29 05:52:36,2019-04-29 10:52:36,Cape of Good Hope,
835737501,HPL,Shenzhen,New York,2018-08-04 12:49:03,13771.24929,2018-09-17 03:49:03,2018-09-18 06:49:03,Cape of Good Hope,
148885050,Maersk,New York,Guangzhou,2016-12-18 16:27:50,13801.1163,2017-01-30 20:27:50,2017-02-01 12:27:50,Cape of Good Hope,
967517263,HPL,Guangzhou,Savannah,2017-05-12 03:17:06,13843.77501,2017-06-25 20:17:06,2017-06-25 23:17:06,Cape of Good Hope,
838213806,XPO Logistics,Guangzhou,Savannah,2015-11-24 16:36:46,13843.77501,2016-01-08 01:36:46,2016-01-08 13:36:46,Cape of Good Hope,
161181295,HPL,Shenzhen,Savannah,2019-05-16 02:17:44,13813.908,2019-06-29 14:17:44,2019-06-29 23:17:44,Cape of Good Hope,
941181313,HPL,New York,Guangzhou,2017-09-26 14:35:55,13801.1163,2017-11-09 03:35:55,2017-11-10 11:35:55,Cape of Good Hope,
862756196,HPL,Shenzhen,New York,2017-02-25 13:35:57,13771.24929,2017-04-09 16:35:57,2017-04-11 10:35:57,Cape of Good Hope,
744846006,HPL,New York,Guangzhou,2019-12-09 13:46:45,13801.1163,2020-01-21 16:46:45,2020-01-23 11:46:45,Cape of Good Hope,
